********************************************
          ROCKET FLIGHT SIMULATION

TIME    ACCELERATION    VELOCITY    DISTANCE
(sec)    (ft/sec^2)     (ft/sec)      (ft)
 0.0        4.25          0.00        90.00
 1.0        4.24          4.25        92.12
 2.0        4.19          8.46        98.48
 3.0        4.12         12.62       109.02
 4.0        4.01         16.68       123.68
 5.0        3.88         20.63       142.34
 6.0        3.71         24.42       164.88
 7.0        3.52         28.04       191.12
 8.0        3.29         31.44       220.88
 9.0        3.04         34.60       253.92
10.0        2.75         37.50       290.00
11.0        2.44         40.09       328.82
12.0        2.09         42.36       370.08
13.0        1.72         44.27       413.42
14.0        1.31         45.78       458.48
15.0        0.88         46.88       504.84
16.0        0.41         47.52       552.08
17.0       -0.08         47.69       599.72
18.0       -0.61         47.34       647.28
19.0       -1.17         46.45       694.22
20.0       -1.75         45.00       740.00
21.0       -2.36         42.95       784.02
22.0       -3.01         40.26       825.68
23.0       -3.68         36.91       864.32
24.0       -4.39         32.88       899.28
25.0       -5.13         28.13       929.84
********************************************


